,cell_type,marker,tissue
2386,Marginal zone B cell,"CD103,CD180,B220,CD1d,CD21,CD268,CD307d,CD81,CD9,EBF1,IgM,NOTCH2,PAX5",Undefined
2387,Mast cell,"CD117,CD203c",Undefined
2388,Mast cell,"CD117,CD203c,CD32,CD33",Undefined
2389,Mast cell,"CD116,CD117,CD123,CD125,CD126,CD15,CD24,CD35,CD43,CD64,CD9,Fc-epsilonRI-alpha,IL-33R",Undefined
2390,Mast cell,"CD117,CD203c,CD23,CD25,CD3,CD45,HighaffinityIgEreceptor,IL-2",Undefined
2391,Neuron,"160kDaneurofilamentmedium,200kDaneurofilamentheavy,MAP2,NeuN,PSD95,Synaptophysin",Undefined
2392,Oligodendrocyte,"MBP,MOG,Olig1,Olig2,Olig3,OSP,SOX10",Undefined
2393,Megakaryocyte,"CD31,CD41,CD42b,CD51,CD61,CD62P,CD9",Undefined
2394,Megakaryocyte,"CD41b,CD42a,CD42b,CD61",Undefined
2395,Megakaryocyte,"CD110,CD112,CD123,CD41,CD42a,CD42b,CD42c,CD42d,CD49f,CD51,CD61",Undefined
2396,Megakaryocyte erythroid cell,"CCR10,CD10,CD103,CD11b,CD11c,CD122,CD126,CD127,CD13,CD130,CD140a,CD140b,CD152,CD159a,CD16,CD160,CD161,CD165,CD178,CD183,CD185,CD192,CD193,CD194,CD195,CD196,CD198,CD1a,CD1c,CD1d,CD2,CD200,CD200R,CD212,CD217,CD218a,CD229,CD23,CD244,CD25,CD27,CD278,CD279,CD294,CD3,CD304,CD31,CD314,CD34,CD38,CD39,CD4,CD43,CD45,CD45RA,CD45RO,CD48,CD49d,CD5,CD56,CD62,CD62L,CD68,CD69,CD7,CD73,CD79a,CD8,CD80,CD81,CD83,CD84,CD86,CD9,CD94,CXCR3,FLT3,GranzymeA,GranzymeB,IL-13alpha1,IL-21R,IL-9,KLRG1,MHCclass,RAG,RORgamma,ST2,TCRalpha/beta,TCRgamma/delta,ZAP70",Undefined
2397,Megakaryocyte-erythroid progenitor,"CD123,CD34,CD38,CD45RA",Germ
2398,Megakaryocyte-erythroid progenitor,"CD10,CD135,CD34,CD38,CD45RA,CD7,IL3R-alpha",Undefined
2399,Memory B cell,"CBF1,CD27,IgG,Pax5,Spi-B,TLR1,TLR10,TLR2,TLR6,TLR7",Undefined
2400,Memory B cell,"CD19,CD27,IgD",Undefined
2401,Mesenchymal stem cell,"CD10,CD105,CD106,CD117,CD120a,CD13,CD140b,CD166,CD19,CD271,CD29,CD31,CD34,CD340,CD44,CD45,CD49d,CD49e,CD51,CD56,CD71,CD73,CD90,Ly6A/E",Adipose tissue
2402,Mesenchymal stem cell,"CD10,CD105,CD106,CD117,CD120a,CD13,CD140b,CD166,CD19,CD271,CD29,CD31,CD34,CD340,CD44,CD45,CD49d,CD49e,CD51,CD56,CD71,CD73,CD90,Ly6A/E",Cartilage
2403,Mesenchymal stem cell,"CD10,CD105,CD106,CD117,CD120a,CD13,CD140b,CD166,CD19,CD271,CD29,CD31,CD34,CD340,CD44,CD45,CD49d,CD49e,CD51,CD56,CD71,CD73,CD90,Ly6A/E",Bone
2404,Mesenchymal stem cell,"CD10,CD105,CD106,CD117,CD120a,CD13,CD140b,CD166,CD19,CD271,CD29,CD31,CD34,CD340,CD44,CD45,CD49d,CD49e,CD51,CD56,CD71,CD73,CD90,Ly6A/E",Tendon
2405,Mesenchymal stem cell,"CD10,CD105,CD106,CD117,CD120a,CD13,CD140b,CD166,CD19,CD271,CD29,CD31,CD34,CD340,CD44,CD45,CD49d,CD49e,CD51,CD56,CD71,CD73,CD90,Ly6A/E",Muscle
2406,Mesenchymal stem cell,"CD166,CD13,ALK3,ALK6,BMPR-II,CD117,CD44,CD45,CD45.1,CD45.2,CD45RO,CD73,CD90,CD105,Fibronectin,HLAClassI,CD54,CD49a,CD49e,CD51,CD29,N-Cadherin,CD56,TNFRSF16,Nucleostemin,PDGFR-alpha,SCA-1,SSEA-4,STRO-1,SUSD2,TfR,Vimentin",Undefined
2407,Mesenchymal stem cell,"CD105,CD106,CD166,CD29,CD349,CD44,CD54,CD73,CD90,STRO-1,TNAP",Undefined
2408,Mesenchymal stem cell,"CD105,CD166,CD44,CD45,CD73,CD90",Germ
2409,Mesodermal embryonic stem cell,"CD31,CD325,CD34",Germ
2410,Microglial cell,"CD11b,CD45,CD68,CD88,CX3CR1,P2RY12,P2X7R",Undefined
2411,Microglial cell,"CD11b,CD40,CD45,CD68,F4/80,IBA1",Undefined
2412,Monocyte,CD14,Undefined
2413,Monocyte,"CD14,CD172a,CD33",Undefined
2414,Monocyte,CD14,Blood
2415,Multipotent progenitor cell,"CD34,CD38,CD45RA,CD90",Undefined
2416,Myeloblast,"CD114,CD116,CD13,CD15,CD33,CD91",Germ
2417,Myeloid cell,"CD10,CD106,CD115,CD117,CD11b,CD11c,CD122,CD123,CD13,CD130,CD14,CD141,CD15,CD16,CD163,CD165,CD169,CD177,CD178,CD183,CD192,CD193,CD194,CD195,CD198,CD200R,CD203c,CD205,CD206,CD212,CD217,CD218a,CD23,CD24,CD244,CD25,CD282,CD284,CD289,CD294,CD3,CD31,CD32,CD33,CD34,CD38,CD4,CD40,CD43,CD45,CD45RA,CD45RO,CD48,CD49d,CD49f,CD51,CD62L,CD66b,CD68,CD69,CD78,CD80,CD81,CD84,CD86,CD9,CXCR3,Dectin-1,Fc-epsilonRI-alpha,FLT3,iNOS,MARCO,MHCclassII,SIGLEC8,ST2,TCRalpha/beta,VEGF,ZAP70",Bone marrow
2418,Myeloid dendritic cell,"CD11b,CD11c,CD197,CD1a,CD1b,CD1c,CD205,CD207,CD209,CD273,CD304,CD4,CD40,CD49d,CD80,CD83,CD86,F4/80,HLA-DR,MHCClassII",Skin
2419,Myeloid dendritic cell,"CD11b,CD11c,CD197,CD1a,CD1b,CD1c,CD205,CD207,CD209,CD273,CD304,CD4,CD40,CD49d,CD80,CD83,CD86,F4/80,HLA-DR,MHCClassII",Lung
2420,Myeloid dendritic cell,"CD11b,CD11c,CD197,CD1a,CD1b,CD1c,CD205,CD207,CD209,CD273,CD304,CD4,CD40,CD49d,CD80,CD83,CD86,F4/80,HLA-DR,MHCClassII",Stomach
2421,Myeloid dendritic cell,"CD11b,CD11c,CD197,CD1a,CD1b,CD1c,CD205,CD207,CD209,CD273,CD304,CD4,CD40,CD49d,CD80,CD83,CD86,F4/80,HLA-DR,MHCClassII",Intestine
2422,Myeloid dendritic cell,"CD11b,CD11c,CD197,CD1a,CD1b,CD1c,CD205,CD207,CD209,CD273,CD304,CD4,CD40,CD49d,CD80,CD83,CD86,F4/80,HLA-DR,MHCClassII",Blood
2423,Myeloid-derived suppressor cell,"CD11b,CD124,CD15,CD33,CD66b,VEGFR-1",Undefined
2424,Naive B cell,"CD19,CD27,CD38,IgD",Undefined
2425,Naive T cell,"CD197,CD3,CD4,CD45RA,CD45RB,CD62L",Blood
2426,Naive T cell,"CD127,CD197,CD27,CD45RA,CD62L",Undefined
2427,Naive regulatory T (Treg) cell,"CD127,CD25,CD4,CD45RA",Peripheral blood
2428,Natural killer cell,"CD10,CD103,CD117,CD11b,CD11c,CD122,CD127,CD159a,CD16,CD160,CD161,CD178,CD183,CD194,CD196,CD212,CD217,CD218a,CD229,CD244,CD27,CD314,CD319,CD335,CD336,CD337,CD34,CD38,CD4,CD43,CD45,CD45RA,CD49d,CD56,CD57,CD62L,CD68,CD69,CD7,CD8,CD81,CD94,CXCR3,FLT3,GranzymeA,GranzymeB,IL-21R,KLRG1,RORgammaT,ST2,ZAP70",Undefined
2429,Natural killer cell,"2B4,BAT,Creceptor,CCreceptor,CD107a,CD117,CD11b,CD16,CD161,CD27,CD34,CD45RA,CD56,CD57,CD69,CD94,CXCchemokinereceptor,DPIV,FcgRII,H25,IL-12,IL-15,IL-18,IL-2,KIR,Naturalcytotoxicityreceptors,NKG2A,NKH1,NKp46,NKp80",Undefined
2430,Natural killer T (NKT) cell,"CD16,CD3,CD45,CD56,Granzyme,NK1.1",Peripheral blood
2431,Natural memory B cell,"CD19,CD27,IgD,IgM",Undefined
2432,Natural regulatory T (Treg) cell,"CD127,CD25,CD4,HELIOS",Peripheral blood
2433,Neural crest cell,"CD271,CD49d,CD57,NOTCH1",Germ
2434,Neural crest cell,"ASCL1,BMP4,BMP7Heterodimer,BMP7,CHD7,FOXD3,Integrinalpha4beta1,Integrinalpha4beta7,CD49d,Neurogenin-1,Neurogenin-2,Neurogenin-3,TNFRSF16,NOTCH1,NOTCH2,Numb,PAX3,Slug,Snail,SOX10,Vimentin",Undefined
2435,Neural stem cell,"ASCL1,BMI1,CD146,CD24,CD29,CD338,CD49f,CD81,CXCR4,Ki67,Musashi-1,NOTCH1,SOX2,SOX9,Vimentin",Brain
2436,Neural stem cell,"Nestin,PAX6,SOX1,SOX2",Undefined
2437,Neural stem cell,"ABCG2,ASCL1,Beta-catenin,BMI1,BRG1,CalcitoninR,CD133,CD15,CDCP1,COUP-TF,NR2F1,CXCR4,FABP7,FABP8,FGFR2,FGFR4,FOXD3,Frizzled-9,GATA2,NR6A1,GFAP,GLUT1,HOXB1,ID2,LRTM1,Meteorin,MSX1,Musashi-1,Musashi-2,N-Cadherin,Nestin,NeuroD1,Noggin,NOTCH1,NOTCH2,NRF2,Nucleostemin,Numb,OTX2,PAX3,PAX6,PDGFR-alpha,PKCzeta,Prominin2,ROR2,RUNX1,NR2B1,sFRP-2,SLAIN1,SOX1,SOX11,SOX2,SOX21,SOX9,SSEA-1,SSEA-4,TRAF-4,Vimentin,ZIC1",Undefined
2438,Neural tube cell,"ABCG2,CD146,CD15,CD184,CD271,CD288,CD349,CD49f,CD57,CD81,CD95,Neuroglycan-C,Neuropilin-2,NOTCH1",Germ
2439,Neuroepithelial cell,"E-cadherin,HES1,HES3,Nestin,Notch1,Occludin,SOX2",Undefined
2440,Neuron,Doublecortin,Undefined
2441,Neuron,"BCL2,c-Fos,c-Src,CD100,CD106,CD112,CD133,CD15,CD166,CD172a,CD172b,CD200,CD231,CD24,CD271,CD304,CD325,CD47,CD56,CD6,CD90,CX3CL1,CX3CR1,CXCR7,Erythropoietinreceptor,G-CSF,IL-11,MAP2ab,Nestin,Neurofilamentheavyprotein(NF-H),Neurofilamentmediumprotein(NF-M),PAX5,PKC,TGF-beta",Undefined
2442,Neuron,"CD143,CD166,CD171,CD200,CD230,CD24,CD271,CD304,CD6,CD90,Nestin",Undefined
2443,Neutrophil,"CD10,CD114,CD11b,CD11c,CD13,CD14,CD15,CD16,CD31,CD32,CD33,CD62L,CD64,CD66b,CD88,CXCR1,CXCR2,JAML,TLR2",Blood
2444,Neutrophil,"CD11b,CD16,CD18,CD32,CD44,CD55",Undefined
2445,Neutrophil,"S100A8,S100A9,CD10,CD112,CD114,CD116,CD15,CD157,CD17,CD177,CD181,CD24,CD281,CD282,CD284,CD286,CD289,CD35,CD43,CD66a,CD66b,CD66c,CD66d,CD89,CD93",Undefined
2446,Neutrophil,"CD11b,CD15,CD16,CD49d,CD66b",Peripheral blood
2447,Natural killer cell,"CD11b,CD11c,CD122,CD158,CD16,CD161,CD244,CD314,CD319,CD32,CD328,CD335,CD49b,CD56,CD57,CD69,CD94,Ly108,Valpha24-Jalpha18TCR",Undefined
2448,Natural killer cell,"CD3,CD56,CD94,NKp46",Undefined
2449,Natural killer cell,"CD3,CD56",Blood
2450,Natural killer cell,"CD11b,CD122,CD158,CD16,CD161,CD226,CD244,CD314,CD335,CD336,CD337,CD56,CD69,CD94,E4BP4,EOMES,GATA3,ID2,KLRG1,RUNX1,T-bet,TIGIT,TOX",Undefined
2451,Osteoblast,"AdditionalGABACompounds,CD166,B220,CalcitoninandRelatedReceptorAgonists,CalcitoninandRelatedReceptorAntagonists,CalcitoninR,CD44,CD45,CD45.1,CD45.2,CD45RO,CD73,CD90,DC-STAMP,DLX5,EBF2,GABA-BR1,GABA-BReceptorAgonists,GABA-BReceptorAntagonists,GABABReceptorCompounds,GABA-BReceptorModulators,GABATransporterInhibitors,CD51,E4BP4,OC-STAMP,OSCAR,SP7,PTH1R,TNFRSF11A,RUNX2,TBX2,TBX3,TBX5,TCIRG1,WDR5",Bone
2452,Osteocyte,"Biglycan,DMP1,FGF23,Fibronectin,Anastellin,MEPE,Podoplanin,SOST,SPARC",Bone
2453,B cell,"CD19,CD20,CD45",Undefined
2454,Pancreatic endoderm cell,"FOXA2,NeuroD1,NKX6.1,PAX6,PDX1,SOX17",Undefined
2455,Pericyte,"CD105,CD146,CD271,CD31,CD34,CD45",Adipose tissue
2456,Plasma cell,"BLIMP1,CD138,CD184,CD19,CD20,CD252,CD269,CD27,CD31,CD38,CD81,CD9,IRF4,XBP1",Undefined
2457,Plasma cell,"CD19,CD20,CD38",Undefined
2458,Plasmacytoid dendritic cell,"CD11b,CD11c,CD123,CD197,CD1a,CD1b,CD1c,CD273,CD303,CD304,CD4,CD40,CD45R,CD49d,CD8,CD80,CD83,CD85g,CD86,33D1,F4/80,HLA-DR,MHCClassII,SiglecH",Blood
2459,Plasmacytoid dendritic cell,"CD123,CD283,CD287,CD289,CD303,CD304,CD370,CD85g,E2-2,IRF8",Undefined
2460,Platelet,"CD41,CD42a,CD42b,CD61",Undefined
2461,Platelet,"CD107a,CD107b,CD110,CD147,CD151,CD173,CD226,CD23,CD31,CD36,CD41,CD42a,CD42b,CD42c,CD42d,CD49f,CD51,CD60a,CD61,CD84,CD9,CD92,GARP,LAP",Undefined
2462,Platelet,"c-Src,CD102,CD107b,CD109,CSF3R,CD147,CD151,CD193,CD226,CD258,CD29,CD31,CD32,CD323,CD36,CD41,CD41b,CD42b,CD43,CD46,CD47,CD48,CD49b,CD49f,CD51,CD61,CD62P,CD63,CD69,CD84,CD9,Fc-epsilonRI-alpha,GARP,Lyn,PDGF,CCL5,VEGF",Blood
2463,Pluripotent stem cell,"CD49f,KLF4,LIN28,NANOG,OCT4,SOX2",Undefined
2464,Primitive endoderm cell,CD325,Germ
2465,Primordial germ cell,"BLIMP1,PRDM1,CD15,IFITM1,IFITM2,IFITM3,NANOS2,OCT1,OCT3/4,OCT4A,OCT4B,PRDM14,PUM2,SMAD1,SMAD4,SMAD5,SOX2,SSEA-1,DPPA3,VASA",Undefined
2466,Proerythroblast,"CD105,CD71,Glycophorin,PU.1",Germ
2467,Purkinje cell,"IP3R,Calbindin,Calmodulin-dependentphosphodiesterase,CAR8,Cerebellin,cGMP-dependentproteinkinase,clusterin,GABAT,GAD67,Glialfibrillaryacidicprotein,HDAC6,HFB-16,MAP-120,Myelinbasicprotein,Myelinproteinzero,NMDA-NR1,Olfactorymarkerprotein,PCA1,PCA2,PCPP260,PDE1B,PDE5,PDE9A,PEP19,PMCA,PMCA2,S100A1,SERCA,Spot35protein,ZebrinII",Undefined
2468,Epidermal stem cell,"CD29,Cytokeratin-14,Frizzled-2,Frizzled-3,Frizzled-7",Skin
2469,Pyramidal cell,"CaMK2alpha,EMX1,MAP2,MATH-2,mGluR1,mGluR5,Neurogranin,PSD95,R-PTP-gamma,SCIP,CD3E,TBR1,FEZF2",Undefined
2470,Radial glial cell,"BLBP,GFAP,GLAST,HES1,HES5,N-cadherin,Nestin,PAX6,SOX2,TNC,Vimentin",Undefined
2471,Regulatory B cell,"CD19,CD24,CD27,CD38",Undefined
2472,Retinal ganglion cell,"Brn-3B,Hu-1,NGF,NSCL2,PKC-alpha",Undefined
2473,Schwann cell,"Glialfibrillaryacidicprotein,Myelinbasicprotein,myelinproteinzero,S100A1",Undefined
2474,Schwann cell,"GAP43,MPZ,NCAM,S100",Undefined
2475,Serotonergic neuron,"PET1,Serotonintransporter,Tryptophanhydroxylase",Undefined
2476,Sertoli cell,"Androgen-bindingprotein,Calretinin,Clusterin,Cyclicpotein-2,Cytokeratin-18,Deserthedgehog,GATA1,GATA4,InhibinB,M2A,mMullerianinhibitingsubstance,Serotoninreceptor1A,SOX9,Stemcellfactor,Vimentin",Undefined
2477,Smooth muscle cell,"alpha-smoothmuscleactin,CALD1,Calponin1,Hexim1,HistamineH2R,GPR38,TAGLN,VE-Cadherin",Heart
2478,Specialist antigen presenting cell,"CD10,CD103,CD106,CD115,CD117,CD11b,CD11c,CD123,CD127,CD141,CD169,CD183,CD192,CD196,CD198,CD1a,CD1c,CD1d,CD205,CD206,CD207,CD209,CD21,CD23,CD282,CD289,CD303,CD304,CD319,CD324,CD33,CD34,CD38,CD39,CD40,CD45RA,CD48,CD49d,CD5,CD68,CD73,CD80,CD81,CD83,CD85g,CD86,CXCR3,Dectin-1,Flt3,MHCclassII,TLR7",Undefined
2479,Stem cell,"CD117,CD164,CD34",Undefined
2480,Stromal cell,"CD10,CD102,CD106,CD117,CD140a,CD140b,CD29,CD31,CD49d,CD50,CD51,CD61,CD54,CD90,LT-betaR,MADCAM1,MMP1,MMP2,MMP9,GD2,Podoplanin,TIMP1,TIMP2,TLR1,TLR2,TLR3,TLR4",Undefined
2481,Stromal cell,"CD10,CD157,CD34,Podoplanin,Stro-1",Undefined
2482,T cell,"CCR10,CD10,CD103,CD11b,CD11c,CD122,CD126,CD127,CD13,CD130,CD140a,CD140b,CD152,CD159a,CD16,CD160,CD161,CD165,CD178,CD183,CD185,CD192,CD193,CD194,CD195,CD196,CD198,CD1a,CD1c,CD1d,CD2,CD200,CD200R,CD212,CD217,CD218a,CD229,CD23,CD244,CD25,CD27,CD278,CD279,CD294,CD3,CD304,CD31,CD314,CD34,CD38,CD39,CD4,CD43,CD45,CD45RA,CD45RO,CD48,CD49d,CD5,CD56,CD62,CD62L,CD68,CD69,CD7,CD73,CD79a,CD8,CD80,CD81,CD83,CD84,CD86,CD9,CD94,CXCR3,Flt3,GranzymeA,GranzymeB,IL-13alpha1,IL-21R,IL-9,KLRG1,MHCclassII,RAG,RORgammaT,ST2,TCRalpha/beta,TCRgamma/delta,ZAP70",Undefined
2483,T cell,CD3,Undefined
2484,T cell,"CD2,CD3,CD45,CD5,CD6",Peripheral blood
2485,Follicular helper (Tfh) T cell,"BCL6,CD126,CD150,CD154,CD185,CD252,CD278,CD279,CD3,CD4,CD84,STAT3,TCRalpha/beta",Undefined
2486,T helper cell,"CCR10,CD10,CD103,CD126,CD127,CD140a,CD140b,CD161,CD165,CD178,CD183,CD185,CD193,CD194,CD195,CD196,CD198,CD1a,CD200,CD212,CD218a,CD25,CD279,CD294,CD3,CD34,CD38,CD39,CD4,CD45RA,CD45RO,CD5,CD62,CD62L,CD7,CD73,Flt3,IL-13alpha1,IL-21R,IL-9,TCRalpha/beta",Undefined
