,cell_type,marker,tissue
2329,Endothelial cell,"BDCA-3,CCChemokineReceptorD6,CD143,CD102,CD105,CD106,CD112,CD146,CD147,CD150,CD151,CD160,CD18,CD248,CD299,CD300g,CD31,CD34,CD36,CD49d,CD54,CD62E,CD62P,CD93,CoagulationFactorIII,COLEC11,COLEC12,DCBLD2,ECSCR,EDG1,EDG3,EDG5,EDG6,EDG8,Endomucin,EPCR,ErythropoietinR,ESAM,FABP5,FABP6,IL-1RI,IL-13Ralpha1,Integrinalpha4beta1,Integrinalpha4beta7,KLF4,LYVE-1,PD-ECGF,Podocalyxin,Podoplanin,Stabilin-1,Stabilin-2,TEM7,TEM8,THSD1,THSD7A,TIE-2,TNFRSF10A,TNFRSF10B,TNFRSF1A,TNFRSF1B,VE-Cadherin,VEGFR-1,VEGFR-2,VEGFR-3,VE-Statin,VG5Q",Blood vessel
2330,Endothelial cell,"CD146,CD202b,CD309,CD31,CD34,CD54,CD61,CD62E,Endoglin,EPCR,Podoplanin,VCAM1,VE-Cadherin,VEGFR-3",Blood vessel
2331,Endothelial cell,"CD105,CD106,CD31,CD34,CD62E",Germ
2332,Endothelial cell,"CD105,CD146,CD271,CD31,CD34,CD45",Adipose tissue
2333,Endothelial cell,"CD105,CD106,CD144,CD146,CD202b,CD309,CD31,CD34,CD54,CD61,CD62E,Podoplanin",Undefined
2334,Endothelial cell,"CD117,CD106,CD146,CD31,CD34,CD62E,CD62P,CXCR4,EDG1,EDG3,EDG5,EDG6,EDG8,FLT1,PLVAP,TIE-2,VE-Cadherin,VEGFR-2",Bone marrow
2335,Endothelial stem cell,"CD102,CD105,CD106,CD114,CD117,CD120a,CD120b,CD14,CD146,CD29,CD31,CD34,CD45,CD49d,CD49e,CD49f,CD54,CD62L,CD62P",Blood vessel
2336,Eosinophil,"C3AR,CD129,CD183,CD191,CD193,CD23,CD244,CD294,CD305,CD49d,CD52,CD53,CD88,Fc-epsilonRI-alpha,Galectin-9,MRP-14,Siglec-10,SIGLEC8,SSEA-1",Undefined
2337,Eosinophil,"CD125,CD193,CD45,F4/80,SIGLEC8",Undefined
2338,Eosinophil,"CD116,CD123,CD125,CD126,CD15,CD193,CD24,CD244,CD35,CD43,CD64,CD9,Fc-epsilonRI-alpha",Undefined
